binomial,calculated_rarity,output_rarity,justification
"Lasius emarginatus: iso. Bolton & Collingwood: 1975","NR","NR",""
"Lasius brunneus: iso. Bolton & Collingwood: 1975","NF","NF",""
"Anteon tripartitum: iso. Olmi: 1994","NR","ID",""
"Anteon scapulare: iso. Olmi: 1999","NR","ID",""
"Anteon pubicorne: iso. Olmi: 1994","NS","NS",""
"Anteon jurineanum: iso. Olmi: 1994","NS","NS",""
"Anteon infectum: iso. Olmi: 1994","NR","ID",""
"Anteon gaullei: iso. Olmi: 1994","NR","ID",""
"Anteon fulviventre: iso. Olmi: 1994","NR","ID",""
"Anteon flavicorne: iso. Olmi: 1994","NR","ID",""
"Anteon faciale: iso. Burn and de Rond: 1998","NR","NR",""
"Anteon exiguum: iso. Olmi: 1994","NR","ID",""
"Anteon ephippiger: iso. Olmi: 1994","NR","ID",""
"Anteon brachycerum: iso. Olmi: 1994","NR","ID",""
"Anteon arcuatum: iso. Olmi: 1994","NR","NR",""
"Laelius femoralis: iso. Vikberg & Koponen: 2005","NR","NR",""
"Methocha articulata: iso. Amiet: 2008","NS","NS",""
"Stenamma westwoodii: iso. Dubois: 1998","NR","ID",""
"Stenamma debile: iso. Dubois: 1998","NF","NF",""
"Mellinus arvensis: iso. Richards: 1980","NF","NF",""
"Nomada bifasciata: iso. Amiet et al: 2007","NR","NR",""
"Nomada facilis: iso. Notton & Norman: 2017","NR","ID",""
"Nomada integra: iso. Notton & Norman: 2017","NR","ID",""
"Nomada fulvicornis: iso. Falk: 2004","NS","ID",""
"Nomada alboguttata: iso. Sann et al: 2010","NR","NR",""
"Nomada zonata: iso. Amiet et al: 2007","NS","NS",""
"Nomada striata: iso. Amiet et al: 2007","NF","NF",""
"Nomada signata: iso. Perkins: 1919","NS","NS",""
"Nomada sheppardana: iso. Amiet et al: 2007","NF","NF",""
"Nomada sexfasciata: iso. Perkins: 1919","NR","NR",""
"Nomada rufipes: iso. Perkins: 1919","NF","NF",""
"Nomada ruficornis: iso. Amiet et al: 2007","NF","NF",""
"Nomada roberjeotiana: iso. Amiet et al: 2007","NR","NR",""
"Nomada obtusifrons: iso. Perkins: 1919","NS","NS",""
"Nomada marshamella: iso. Perkins: 1919","NF","NF",""
"Nomada leucophthalma: iso. Perkins: 1919","NF","NF",""
"Nomada lathburiana: iso. Perkins: 1919","NF","NF",""
"Nomada hirtipes: iso. Amiet et al: 2007","NS","NS",""
"Nomada guttulata: iso. Perkins: 1919","NS","NS",""
"Nomada goodeniana: iso. Perkins: 1919","NF","NF",""
"Nomada fucata: iso. Perkins: 1919","NF","NF",""
"Nomada flavopicta: iso. Perkins: 1919","NF","NF",""
"Nomada flavoguttata: iso. Perkins: 1919","NF","NF",""
"Nomada flava: iso. Perkins: 1919","NF","NF",""
"Nomada ferruginata: iso. Amiet et al: 2007","NS","NS",""
"Nomada fabriciana: iso. Perkins: 1919","NF","NF",""
"Nomada conjungens: iso. Perkins: 1919","NS","ID",""
"Nomada baccata: iso. Perkins: 1919","NS","NS",""
"Nomada armata: iso. Perkins: 1919","NR","NR",""
"Nomada argentata: iso. Amiet et al: 2007","NS","NS",""
"Chelostoma florisomne: iso. Amiet et al: 2004","NF","NF",""
"Chelostoma campanularum: iso. Amiet et al: 2004","NF","NF",""
"Sphecodes spinulosus: iso. Amiet et al: 1999","NS","NS",""
"Sphecodes scabricollis: iso. Amiet et al: 1999","NS","NS",""
"Sphecodes rubicundus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes reticulatus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes puncticeps: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes pellucidus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes niger: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes monilicornis: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes miniatus: iso. Amiet et al: 1999","NS","NS",""
"Sphecodes longulus: iso. Amiet et al: 1999","NS","NS",""
"Sphecodes hyalinatus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes gibbus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes geoffrellus: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes ferruginatus: iso. Amiet et al: 1999","NS","NS",""
"Sphecodes ephippius: iso. Amiet et al: 1999","NF","NF",""
"Sphecodes crassus: iso. Amiet et al: 1999","NF","NF",""
"Heriades rubicola: iso. Else & Edwards: 2018","NR","NR",""
"Heriades truncorum: iso. Amiet et al: 2004","NF","NF",""
"Crabro scutellatus: iso. Richards: 1980","NS","NS",""
"Crabro peltarius: iso. Richards: 1980","NF","NF",""
"Crabro cribrarius: iso. Richards: 1980","NF","NF",""
"Dipogon variegatus: iso. Day: 1988","NF","NF",""
"Dipogon subintermedius: iso. Day: 1988","NF","NF",""
"Dipogon bifasciatus: iso. Day: 1988","NR","NR",""
"Gymnomerus laevipes: iso. Richards: 1980","NF","NF",""
"Ammophila sabulosa: iso. Richards: 1980","NF","NF",""
"Ammophila pubescens: iso. Richards: 1980","NS","NS",""
"Sapyga quinquepunctata: iso. Richards: 1980","NF","NF",""
"Stelis odontopyga: iso. Amiet et al: 2004","NR","ID",""
"Stelis punctulatissima: iso. Amiet et al: 2004","NS","NS",""
"Stelis phaeoptera: iso. Amiet et al: 2004","NS","NS",""
"Stelis ornatula: iso. Amiet et al: 2004","NS","NS",""
"Stelis breviuscula: iso. Amiet et al: 2004","NS","NS",""
"Panurgus calcaratus: iso. Amiet et al: 2010","NF","NF",""
"Panurgus banksianus: iso. Amiet et al: 2010","NF","NF",""
"Pemphredon rugifer: iso. Dollfuss: 1995","NS","NS",""
"Pemphredon morio: iso. Dollfuss: 1995","NS","",""
"Pemphredon inornata: iso. Dollfuss: 1995","NF","NF",""
"Pemphredon lugubris: iso. Dollfuss: 1995","NF","NF",""
"Agenioideus apicalis: iso. Wolf: 1972","NR","",""
"Agenioideus sericeus: iso. Day: 1988","NR","NR",""
"Agenioideus cinctellus: iso. Day: 1988","NF","NF",""
"Crossocerus pullulus: iso. Bitsch: 2003","NR","",""
"Crossocerus leucostoma: iso. Richards: 1980","NS","NS",""
